Unnamed: 0,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
54183,fiat,Fiat Tipo,white,02/2017,2017,25990,70,95,Manual,Unknown,,- (g/km),67573.0,1.4 16V Pop
19143,audi,Audi A3,red,03/2020,2020,21680,150,204,Automatic,Hybrid,"1,9 l/100 km",43 g/km,51000.0,Sportback 40 e-tron LED+ACC+Navi+PDC+SHZ
78858,hyundai,Hyundai TUCSON,black,06/2016,2016,18490,130,177,Automatic,Petrol,"7,5 l/100 km",175 g/km,107500.0,1.6 Premium Kamera 4x4 SHZ Leder LM LED
225558,volkswagen,Volkswagen Scirocco,blue,04/2013,2013,13500,130,177,Manual,Diesel,"5,1 l/100 km",134 g/km,111195.0,*Match*Bi-Xenon*Sport-Fahrw.*Bluetooth*
68078,ford,Ford Tourneo Connect,silver,09/2018,2018,27455,88,120,Automatic,Diesel,"5,2 l/100 km",135 g/km,75300.0,Grand Tourneo Connect Titanium Autom. 7-Sitzer
75123,ford,Ford Tourneo Custom,grey,05/2023,2023,50480,125,170,Automatic,Diesel,"7,3 l/100 km",192 g/km,15.0,170PS Autom. L1 Titanium X 5J.FGS
90927,kia,Kia Stinger,grey,10/2020,2020,43990,269,366,Automatic,Petrol,"10,6 l/100 km",244 g/km,7056.0,GT 4WD // Sitzklima / Pano / H&K / HUD / 360°
183976,seat,SEAT Arona,red,10/2020,2020,19940,85,116,Manual,Petrol,"5,7 l/100 km","134,5 g/km",26000.0,FR VOLL-LED | Full Link | Leder-Alcantara | SH | P
91249,kia,Kia Sportage,white,02/2020,2020,30000,136,185,Automatic,Diesel,"5,8 l/100 km",153 g/km,20637.0,Platinum Edition QL Hybrid Pano Leder LED
58955,ford,Ford Kuga,black,09/2008,2008,8990,100,136,Manual,Diesel,"6,4 l/100 km",170 g/km,133636.0,"Titanium, 4x4, Ahk,Pdc."
181880,seat,SEAT Ibiza,blue,07/2019,2019,12990,59,80,Manual,Petrol,5 l/100 km,112 g/km,62100.0,1.0 MPI Reference *Cool&Sound*
192209,skoda,Skoda Octavia,black,07/2016,2016,10500,110,150,Manual,Diesel,"4,7 l/100 km",125 g/km,246000.0,"2,0 TDI Combi Ambition 4x4"
98353,mazda,Mazda CX-3,red,09/2015,2015,14339,77,105,Manual,Diesel,4 l/100 km,106 g/km,93257.0,1.5 SkyActiv Sports-Line LED/TECHNIK-PAKET/18-ZOL
192502,skoda,Skoda Kodiaq,blue,12/2017,2017,24898,140,190,Automatic,Diesel,"5,7 l/100 km",150 g/km,123067.0,4x4 DSG Style*LED*Pano*Navi*WiPa*
146292,opel,Opel Astra,red,02/2016,2016,8490,85,116,Manual,Petrol,"6,3 l/100 km",149 g/km,133800.0,"J Sports Tourer Style,Klima,Sitzheizung,SH"
222658,volkswagen,Volkswagen Polo,red,12/2011,2011,11690,132,179,Automatic,Petrol,"5,9 l/100 km",139 g/km,105900.0,1.4 DSG GTI
62465,ford,Ford Focus,white,12/2014,2014,7900,74,101,Manual,Petrol,"4,8 l/100 km",109 g/km,191666.0,"Wagon 1.0 Trend Edition Airco 18""LM 101Pk! Bluetoo"
185275,seat,SEAT Ateca,grey,02/2021,2021,28940,110,150,Automatic,Petrol,"5,6 l/100 km",127 g/km,32453.0,Xperience 1.5 TSI DSG AHK LED Scheinwerferreg. Spe
39710,bmw,BMW 420,silver,05/2019,2019,37890,135,184,Automatic,Petrol,"6,3 l/100 km",143 g/km,31013.0,i Cabrio Sport Line Head-Up HK HiFi DAB LED
121349,mercedes-benz,Mercedes-Benz GLA 200,blue,07/2018,2018,26800,100,136,Automatic,Diesel,"5,5 l/100 km",147 g/km,34595.0,d 7G-DCT**Panorama-Navi-Memorysitze**
85751,jaguar,Jaguar F-Type,black,01/2022,2022,106850,423,575,Automatic,Petrol,11 l/100 km,252 g/km,3500.0,R AWD*Pano*Perf-Sitz*Meridian*Black*Keyl*
250703,volvo,Volvo S90,grey,01/2022,2022,55870,288,392,Automatic,Hybrid,- (l/100 km),- (g/km),8900.0,R Design ReCharge AWD Sunroof H&K 360° LED Navi e-
187999,seat,SEAT Ateca,grey,05/2023,2023,37490,110,150,Automatic,Petrol,"6,7 l/100 km",150 g/km,50.0,"FR 1,5 TSI DSG"
202232,skoda,Skoda Karoq,grey,03/2023,2023,39250,110,150,Automatic,Petrol,"6,2 l/100 km",141 g/km,4950.0,"Style 1,5 TSI DSG Smartlink AHK Navi uvm."
134942,nissan,Nissan Qashqai+2,black,01/2013,2013,14500,110,150,Automatic,Diesel,"7,1 l/100 km",188 g/km,154000.0,2.0 dCi DPF 4x4 Aut. acenta
56594,fiat,Fiat Tipo,silver,03/2022,2022,18985,74,101,Manual,Petrol,"5,4 l/100 km",124 g/km,10.0,"Kombi City Life Life1,0 Ltr. - 74 kW 74 kW (101..."
123047,mercedes-benz,Mercedes-Benz E 200,white,06/2018,2018,34490,135,184,Automatic,Petrol,"6,3 l/100 km",142 g/km,30298.0,"AMG+NIGHT+LED+AMBIENTE+PARK-PAKET+ALU 19"""
68575,ford,Ford Fiesta,orange,04/2018,2018,10000,74,101,Manual,Petrol,"4,6 l/100 km",97 g/km,113500.0,Fiesta 1.0 EcoBoost S
46697,citroen,Citroen C4,white,07/2021,2021,24990,96,131,Automatic,Petrol,"4,8 l/100 km",110 g/km,35998.0,1.2 PureTech 130 EAT8 Shine Stop&Start (EURO
76624,honda,Honda CR-V,white,12/2017,2017,16790,88,120,Manual,Diesel,"4,5 l/100 km",119 g/km,101500.0,1.6 i-DTEC 2WD Lifestyle Plus
186457,seat,SEAT Leon,grey,07/2022,2022,25400,110,150,Automatic,Diesel,"4,5 l/100 km",117 g/km,13971.0,Style 2.0 TDI DSG Winter-Paket FullLink Cli
240500,volkswagen,Volkswagen Golf,blue,12/2020,2020,24970,150,204,Automatic,Hybrid,"1,2 l/100 km",28 g/km,23900.0,VIII 1.4 TSI DSG Style Plug-in eHybrid
30330,bmw,BMW 640,black,11/2012,2012,29000,230,313,Automatic,Diesel,"5,7 l/100 km",- (g/km),184000.0,640d xDrive Coupe
126634,mercedes-benz,Mercedes-Benz B 200,blue,07/2021,2021,36500,110,150,Automatic,Diesel,5 l/100 km,1.480 g/km,14000.0,Mercedes-Benz B 200 AMG Line
78596,hyundai,Hyundai iX20,beige,08/2016,2016,15990,92,125,Automatic,Petrol,"6,5 l/100 km",150 g/km,35900.0,1.6 Style Automatik
83065,hyundai,Hyundai i10,silver,05/2022,2022,15790,49,67,Manual,Petrol,"4,5 l/100 km",104 g/km,11890.0,1.0 Select + Funktionspaket
